"","fence","variable","mean","sd","min","max"
"1","North","dist_dambo_log",6.34524575608528,0.810702786586958,3.86575125095834,7.87958526698368
"2","North","dist_dambo_mean_3x3",752.951286491306,534.089924068215,47.7391230265299,2642.77628580729
"3","North","dist_perimeter_log",8.38505379073094,0.859772667217873,6.07448653939076,9.49660073114741
"4","North","dist_rivers_log",6.63061911228346,0.88557073088191,3.98279207631635,8.26009061551044
"5","North","dist_rivers_mean_3x3",1044.82183908046,784.548217449255,53.6666666666667,3866.44444444444
"6","North","distance_to_perimeter",5807.43086163751,3600.27848586484,434.626281738281,13314.390625
"7","North","elev_mean_3x3",897.604406130268,173.802032783993,562.444444444444,1232.22222222222
"8","North","pct_slope_mean_3x3",15.161877394636,9.55660473109253,1.66666666666667,47
"9","North","tree_vol_mean_3x3",103.700961522216,39.7117295812165,0,168.844448513455
"10","South","dist_dambo_log",6.46940398602218,0.799224657976953,3.73303238172831,7.81827416658028
"11","South","dist_dambo_mean_3x3",835.29837026041,562.719220109068,41.8056869506836,2485.61195203993
"12","South","dist_perimeter_log",8.26642066802812,0.724749109794738,5.24702407216049,9.32763961006584
"13","South","dist_rivers_log",6.65546274345684,1.00734348122566,2.92673940206704,7.99162986969425
"14","South","dist_rivers_mean_3x3",1079.25396825397,705.692369825841,18.6666666666667,2956.11111111111
"15","South","distance_to_perimeter",4808.9851735433,2848.46761027612,190,11244.55859375
"16","South","elev_mean_3x3",736.142857142857,160.667314319536,542.222222222222,1229.66666666667
"17","South","pct_slope_mean_3x3",10.4444444444444,5.80125366643584,1.55555555555556,25.8888888888889
"18","South","tree_vol_mean_3x3",76.4068133061525,27.8381477457286,14.133333630032,148.222227308485
