"site","UTMXcorrec","UTMYcorrec"
"064",599954,8551900
"103",601339,8551900
"207",600647,8550701
"071",602030,8562716
"203",603363,8562733
"148",602734,8561494
"027",602018,8555492
"146",603412,8555502
"052",602724,8554295
"065",606193,8562710
"140",607580,8562709
"161",606884,8561509
"107",608274,8566318
"170",609662,8566271
"193",608969,8565117
"192",608278,8549500
"104",609681,8549509
"067",610480,8562643
"120",611665,8562695
"034",611082,8561571
"088",610349,8555490
"177",611736,8555498
"165",611052,8554308
"185",612437,8559110
"072",613824,8559108
"108",613130,8557907
"098",612440,8549499
"029",613820,8549501
"196",614516,8567520
"151",615906,8567527
"172",615213,8566320
"055",616599,8561510
"070",617986,8561510
"145",617292,8560310
"023",616597,8554302
"125",617980,8554304
"187",617294,8553098
"094",618690,8565109
"022",620071,8565118
"102",619373,8563914
"089",618679,8557907
"191",620067,8557907
"013",619379,8556718
"011",618680,8550705
"083",620076,8550693
"106",619373,8549490
"053",622159,8583126
"099",621450,8581937
"040",620758,8575931
"158",622142,8575910
"080",621447,8574746
"001",620755,8571120
"073",622147,8571115
"085",621458,8569916
"133",620783,8561478
"101",622149,8561514
"163",621456,8560311
"032",622836,8579530
"039",624227,8579514
"063",623530,8578328
"017",622849,8567517
"050",624231,8567527
"137",623534,8566313
"153",622827,8557902
"139",624227,8557902
"194",623556,8556707
"012",622815,8552977
"176",624226,8553101
"202",623536,8551894
"015",622840,8548295
"154",624235,8548303
"031",623535,8547090
"045",624928,8585559
"009",626316,8585569
"175",625611,8584335
"056",627003,8560308
"105",628370,8560285
"109",627702,8559109
"143",627010,8555497
"168",628382,8555496
"093",627699,8554310
"036",627004,8550702
"199",628392,8550702
"058",627699,8549499
"059",589720,8589253
"095",590937,8589140
"003",590248,8587934
"111",589547,8584336
"206",590935,8584340
"044",590242,8583135
"156",591626,8592748
"174",592980,8592738
"136",592320,8591544
"149",593709,8589133
"169",595085,8589191
"008",594399,8587944
"092",593708,8596357
"164",595195,8596327
"179",594410,8595216
"051",595796,8585545
"121",597173,8585535
"134",596483,8584338
"020",595790,8580734
"002",597174,8580733
"127",596481,8580330
"086",595788,8592744
"077",597077,8592761
"090",596477,8591551
"069",599846,8602199
"025",601364,8602372
"190",600612,8601138
"038",599952,8595148
"152",601338,8595150
"159",600647,8593947
"205",599952,8590343
"141",601358,8590357
"060",600634,8589154
"114",602033,8584340
"138",603424,8584342
"142",602726,8583141
"046",601973,8598726
"119",603418,8598755
"200",602728,8597556
"167",604112,8587940
"078",605499,8587941
"087",604804,8586744
"081",604110,8578331
"198",605502,8578358
"082",604822,8577150
"019",604124,8602318
"010",605446,8602410
"123",604807,8601163
"068",604114,8595150
"124",605504,8595150
"209",604808,8593947
"110",606270,8581938
"162",607581,8581939
"171",606855,8580696
"181",606195,8591549
"084",607581,8591548
"188",606895,8590346
"005",608273,8585519
"112",609678,8585550
"042",608969,8584326
"075",608270,8575952
"057",609663,8575929
"131",609034,8574713
"062",609012,8548248
"184",608276,8604760
"006",609639,8604791
"033",608977,8603593
"201",608272,8595150
"100",609603,8595160
"074",609003,8593928
"208",610375,8589122
"197",611743,8589143
"076",611050,8587942
"043",610401,8572338
"028",611745,8572326
"079",611042,8571128
"030",610360,8608363
"037",611742,8608365
"130",611029,8607146
"018",612436,8585544
"016",613850,8585539
"096",613131,8584337
"129",612491,8580733
"116",613826,8580733
"180",613180,8579504
"091",613138,8548320
"160",612421,8599943
"024",613845,8599986
"204",613161,8598763
"147",614519,8574720
"150",615898,8574733
"118",615219,8573525
"115",614561,8593940
"155",615891,8593970
"113",615215,8592748
"054",616607,8587918
"007",617988,8587947
"035",617292,8586741
"135",616509,8583076
"097",617981,8583164
"026",617336,8581932
"061",616599,8578329
"189",617985,8578330
"122",617276,8577117
"195",616610,8604769
"066",617994,8604757
"210",617296,8603562
"186",616600,8597547
"183",617983,8597546
"047",617303,8596336
"021",618679,8591548
"132",620010,8591638
"166",619375,8590336
"014",620759,8587939
"182",622147,8587940
"157",621433,8586755
"126",620759,8583138
"041",620746,8599963
"144",622150,8599952
"049",621462,8598745
"048",620758,8595152
"178",622158,8595104
"173",621452,8593949
"117",622849,8591554
"004",624221,8591533
"128",623532,8590368
